content,tag,content_original
"ASSIGN = history.history ASSIGN = history_dict['loss'] ASSIGN = history_dict['val_loss'] ASSIGN = history_dict['acc'] ASSIGN = history_dict['val_acc'] ASSIGN = range(1,len(loss_values)+1) plt.clf() plt.subplot(311) plt.plot(ASSIGN, ASSIGN,'bo-') plt.plot(ASSIGN, ASSIGN,'rs-') plt.xlabel('Iterations') plt.ylabel('Loss & Accuracy ') plt.title(""For Train Data"") plt.subplot(313) plt.plot(ASSIGN, ASSIGN,'bo-') plt.plot(ASSIGN, ASSIGN,'rs-') plt.xlabel('Iterations') plt.ylabel('Loss & Accuracy') plt.title(""For validation Data"") plt.show()",1,"['history_dict = history.history\n', ""loss_values = history_dict['loss']\n"", ""val_loss_values = history_dict['val_loss']\n"", ""acc_values = history_dict['acc']\n"", ""val_acc_values = history_dict['val_acc']\n"", 'epochs = range(1,len(loss_values)+1)\n', 'plt.clf()\n', 'plt.subplot(311)\n', ""plt.plot(epochs, loss_values,'bo-')\n"", ""plt.plot(epochs, acc_values,'rs-')\n"", ""plt.xlabel('Iterations')\n"", ""plt.ylabel('Loss & Accuracy ')\n"", 'plt.title(""For Train Data"")\n', '\n', 'plt.subplot(313)\n', ""plt.plot(epochs, val_loss_values,'bo-')\n"", ""plt.plot(epochs, val_acc_values,'rs-')\n"", ""plt.xlabel('Iterations')\n"", ""plt.ylabel('Loss & Accuracy')\n"", 'plt.title(""For validation Data"")\n', '\n', 'plt.show()']"
"ASSIGN = datetime.strptime('2020-04-09','%Y-%m-%d') ASSIGN = datetime.strptime('2020-04-10','%Y-%m-%d') ASSIGN = datetime.strptime('2020-04-11','%Y-%m-%d') ASSIGN = datetime.strptime('2020-04-12','%Y-%m-%d')",0,"[""day1 = datetime.strptime('2020-04-09','%Y-%m-%d')\n"", ""day2 = datetime.strptime('2020-04-10','%Y-%m-%d')\n"", ""day3 = datetime.strptime('2020-04-11','%Y-%m-%d')\n"", ""day4 = datetime.strptime('2020-04-12','%Y-%m-%d')""]"
"data.classes, data.c, len(data.train_ds), len(data.valid_ds)",0,"['data.classes, data.c, len(data.train_ds), len(data.valid_ds)']"
SETUP,0,"[""DATASET_DIR = '/kaggle/input/pku-autonomous-driving/'\n"", ""JSON_DIR = os.path.join(DATASET_DIR, 'car_models_json')\n"", 'NUM_IMG_SAMPLES = 10 # The number of image samples used for visualization']"
SETUP CHECKPOINT py.init_notebook_mode(connected=True) print(os.listdir()),0,"['\n', 'import numpy as np # linear algebra\n', 'import pandas as pd # data processing, CSV file I/O (e.g. pd.read_csv)\n', 'from scipy import stats\n', 'from sklearn.preprocessing import LabelEncoder\n', 'from sklearn.model_selection import train_test_split\n', 'from sklearn.linear_model import LogisticRegression\n', 'from sklearn.metrics import confusion_matrix, precision_recall_curve, auc, roc_auc_score, roc_curve\n', 'from sklearn.metrics import  recall_score, classification_report\n', 'from statsmodels.stats.outliers_influence import variance_inflation_factor\n', 'from statsmodels.tools.tools import add_constant\n', 'from sklearn.tree import DecisionTreeClassifier\n', 'from sklearn import metrics\n', '\n', '# Plotting the graphs\n', 'import matplotlib.pyplot as plt\n', '%matplotlib inline\n', 'import seaborn as sns\n', 'import plotly.graph_objs as go\n', 'import plotly.offline as py\n', 'py.init_notebook_mode(connected=True)\n', '\n', 'import os\n', 'print(os.listdir(""../input""))\n', '\n', '# Any results you write to the current directory are saved as output.']"
"CHECKPOINT ASSIGN = linear_model.Ridge(alpha=0.01) ASSIGN.fit(x_t,Y_t) ASSIGN = model16.score(x_es,Y_es) print(ASSIGN*100,'%')",0,"['model16 = linear_model.Ridge(alpha=0.01)\n', 'model16.fit(x_t,Y_t)\n', '\n', 'accuracy16 = model16.score(x_es,Y_es)\n', ""print(accuracy16*100,'%')""]"
"ASSIGN= death_predict[['ds', 'yhat']] ASSIGN.columns = [['ForecastId', 'Fatalities']]",0,"['## These are the predictions for Deaths by Covid-19 cases until 2020 April 24\n', '\n', ""forecastDeath= death_predict[['ds', 'yhat']]\n"", ""forecastDeath.columns = [['ForecastId', 'Fatalities']]\n""]"
"CHECKPOINT ASSIGN = 1000 ASSIGN = pd.read_csv('..path', delimiter=',', nrows = nRowsRead) ASSIGN.dataframeName = 'links_small.csv' nRow, nCol = ASSIGN.shape print(f'There are {nRow} rows and {nCol} columns')",0,"[""nRowsRead = 1000 # specify 'None' if want to read whole file\n"", '# links_small.csv has 9125 rows in reality, but we are only loading/previewing the first 1000 rows\n', ""df3 = pd.read_csv('../input/links_small.csv', delimiter=',', nrows = nRowsRead)\n"", ""df3.dataframeName = 'links_small.csv'\n"", 'nRow, nCol = df3.shape\n', ""print(f'There are {nRow} rows and {nCol} columns')""]"
"CHECKPOINT ASSIGN = go.Figure(data=[ go.Line(name='train_acc', x=history_1.epoch, y=history_1.history['accuracy']), go.Line(name='Val_acc', x=history_1.epoch, y=history_1.history['val_accuracy'])]) ASSIGN.update_layout( ASSIGN=""Accuracy"", ASSIGN=""epoch"", ASSIGN=""accuracy"", ASSIGN=dict( ASSIGN=""Courier New, monospace"", ASSIGN=18, ASSIGN=""#7f7f7f"" )) fig",1,"['fig = go.Figure(data=[\n', ""    go.Line(name='train_acc', x=history_1.epoch, y=history_1.history['accuracy']),\n"", ""    go.Line(name='Val_acc', x=history_1.epoch, y=history_1.history['val_accuracy'])])\n"", '\n', 'fig.update_layout(\n', '    title=""Accuracy"",\n', '    xaxis_title=""epoch"",\n', '    yaxis_title=""accuracy"",\n', '    font=dict(\n', '        family=""Courier New, monospace"",\n', '        size=18,\n', '        color=""#7f7f7f""\n', '    ))\n', 'fig']"
"SETUP CHECKPOINT print(os.listdir('..path')) py.init_notebook_mode(connected=False) sns.set(rc={'figure.figsize':(20,10)})",0,"['# Other Imports\n', 'import json\n', 'import matplotlib.pyplot as plt\n', 'import numpy as np\n', 'import os\n', 'import pandas as pd\n', 'import plotly.graph_objs as go\n', 'import plotly.offline as py\n', 'import seaborn as sns\n', '\n', '# Pytorch Imports\n', 'import torch\n', 'import torch.nn as nn\n', 'import torch.nn.functional as F\n', 'import torch.optim as optim\n', 'import torch.utils.data as data\n', 'import torchvision\n', 'from torchvision import transforms\n', 'import torchvision.models as models\n', '\n', ""print(os.listdir('../input'))\n"", '%matplotlib inline\n', 'py.init_notebook_mode(connected=False)\n', ""sns.set(rc={'figure.figsize':(20,10)})\n"", '\n', '%env JOBLIB_TEMP_FOLDER=/tmp']"
"ASSIGN = train['Id'] ASSIGN = test['Id'] train.drop('Id',inplace = True, axis = 1) test.drop('Id',inplace = True, axis = 1)",0,"[""train_id = train['Id']\n"", ""test_id = test['Id']\n"", ""train.drop('Id',inplace = True, axis = 1)\n"", ""test.drop('Id',inplace = True, axis = 1)""]"
ASSIGN = population[population.Country == 'ASSIGN'] ASSIGN = 'Congo (Brazzaville)' ASSIGN = Congo.copy() ASSIGN = 'Congo (Kinshasa)' ASSIGN = Congo.copy() ASSIGN = ASSIGN.append(new1) ASSIGN = ASSIGN.append(new2),0,"[""Congo = population[population.Country == 'Congo']\n"", ""Congo['Country'] = 'Congo (Brazzaville)'\n"", 'new1 = Congo.copy()\n', ""Congo['Country'] = 'Congo (Kinshasa)'\n"", 'new2 = Congo.copy()\n', '\n', 'population = population.append(new1)\n', 'population = population.append(new2)']"
cleaning_train.isnull().sum().sort_values(),0,['cleaning_train.isnull().sum().sort_values()']
"sns.catplot(x='Year', y='Protection of Civil Rights (PCR) Act', data=total ,height = 5, aspect = 4,kind = 'bar')",1,"[""sns.catplot(x='Year', y='Protection of Civil Rights (PCR) Act', data=total ,height = 5, aspect = 4,kind = 'bar')""]"
"X_train, X_test, Y_train, Y_test = train_test_split(X, Y, test_size = 0.2, random_state = 1)",0,"['X_train, X_test, Y_train, Y_test = train_test_split(X, Y, test_size = 0.2, random_state = 1)']"
"CHECKPOINT ASSIGN = 1000 ASSIGN = pd.read_csv('..path', delimiter=',', nrows = nRowsRead) ASSIGN.dataframeName = 'keywords.csv' nRow, nCol = ASSIGN.shape print(f'There are {nRow} rows and {nCol} columns')",0,"[""nRowsRead = 1000 # specify 'None' if want to read whole file\n"", '# keywords.csv has 46419 rows in reality, but we are only loading/previewing the first 1000 rows\n', ""df2 = pd.read_csv('../input/keywords.csv', delimiter=',', nrows = nRowsRead)\n"", ""df2.dataframeName = 'keywords.csv'\n"", 'nRow, nCol = df2.shape\n', ""print(f'There are {nRow} rows and {nCol} columns')""]"
"sns.pairplot( tumor_data, ASSIGN = ['radius_mean', 'texture_mean', 'perimeter_mean', 'area_mean', 'smoothness_mean', 'compactness_mean', 'concavity_mean'], ASSIGN = 'target' )",1,"['sns.pairplot(\n', '    tumor_data,\n', ""    vars = ['radius_mean', 'texture_mean', 'perimeter_mean', 'area_mean', 'smoothness_mean', 'compactness_mean', 'concavity_mean'],\n"", ""    hue = 'target'\n"", ')']"
"ASSIGN = pd.DataFrame(columns={""infection_trend"",""fatality_trend"",""quarantine_trend"",""school_trend"",""total_population"",""expected_cases"",""expected_fatalities""}) ASSIGN = scale_train ASSIGN = 14 ASSIGN = [] with tqdm(total=len(list(ASSIGN.Country.unique()))) as pbar: for country in ASSIGN.Country.unique(): for province in ASSIGN.query(f""Country=='{country}'"").Province.unique(): ASSIGN = train_df.query(f""Country=='{country}' and Province=='{province}'"") for i in range(0,len(ASSIGN)): if i+ASSIGN<=len(ASSIGN): ASSIGN = [float(x) for x in province_df[i:i+days_in_sequence-1].ConfirmedCases.values] ASSIGN = [float(x) for x in province_df[i:i+days_in_sequence-1].Fatalities.values] ASSIGN = float(province_df.iloc[i].Days_After_1stJan) ASSIGN = float(province_df.iloc[i].Dayofweek) ASSIGN = float(province_df.iloc[i].Month) ASSIGN= float(province_df.iloc[i].Day) ASSIGN = float(province_df.iloc[i].Population) ASSIGN = float(province_df.iloc[i].Density) ASSIGN = float(province_df.iloc[i].Land_Area) ASSIGN = float(province_df.iloc[i].Migrants) ASSIGN = float(province_df.iloc[i].MedAge) ASSIGN = float(province_df.iloc[i].UrbanPopRate) ASSIGN = float(province_df.iloc[i].API_beds) ASSIGN = float(province_df.iloc[i+days_in_sequence-1].ConfirmedCases) ASSIGN = float(province_df.iloc[i+days_in_sequence-1].Fatalities) ASSIGN.append({""ASSIGN"":ASSIGN, ""ASSIGN"":ASSIGN, ""stable_inputs"":[ASSIGN,ASSIGN,ASSIGN,ASSIGN,ASSIGN,ASSIGN,ASSIGN], ""ASSIGN"":ASSIGN, ""ASSIGN"":ASSIGN}) pbar.update(1) ASSIGN = pd.DataFrame(trend_list)",0,"['trend_df = pd.DataFrame(columns={""infection_trend"",""fatality_trend"",""quarantine_trend"",""school_trend"",""total_population"",""expected_cases"",""expected_fatalities""})\n', '\n', 'train_df = scale_train\n', 'days_in_sequence = 14\n', '\n', 'trend_list = []\n', '\n', 'with tqdm(total=len(list(train_df.Country.unique()))) as pbar:\n', '    for country in train_df.Country.unique():\n', '        for province in train_df.query(f""Country==\'{country}\'"").Province.unique():\n', '            province_df = train_df.query(f""Country==\'{country}\' and Province==\'{province}\'"")\n', '            \n', '\n', '            for i in range(0,len(province_df)):\n', '                if i+days_in_sequence<=len(province_df):\n', '                    #prepare all the trend inputs\n', '                    infection_trend = [float(x) for x in province_df[i:i+days_in_sequence-1].ConfirmedCases.values]\n', '                    fatality_trend = [float(x) for x in province_df[i:i+days_in_sequence-1].Fatalities.values]\n', '\n', '                    #preparing all the stable inputs\n', '                    days_after_1stJan = float(province_df.iloc[i].Days_After_1stJan)\n', '                    dayofweek = float(province_df.iloc[i].Dayofweek)\n', '                    month = float(province_df.iloc[i].Month)\n', '                    day= float(province_df.iloc[i].Day)\n', '                    population = float(province_df.iloc[i].Population)\n', '                    density = float(province_df.iloc[i].Density)\n', '                    land_area = float(province_df.iloc[i].Land_Area)\n', '                    migrants = float(province_df.iloc[i].Migrants)\n', '                    medage = float(province_df.iloc[i].MedAge)\n', '                    urbanpoprate = float(province_df.iloc[i].UrbanPopRate)\n', '                    beds = float(province_df.iloc[i].API_beds)\n', '\n', '                    #True cases in i+days_in_sequence-1 day\n', '                    expected_cases = float(province_df.iloc[i+days_in_sequence-1].ConfirmedCases)\n', '                    expected_fatalities = float(province_df.iloc[i+days_in_sequence-1].Fatalities)\n', '\n', '                    trend_list.append({""infection_trend"":infection_trend,\n', '                                     ""fatality_trend"":fatality_trend,\n', '                                     ""stable_inputs"":[population,density,land_area,migrants,medage,urbanpoprate,beds],\n', '                                     ""expected_cases"":expected_cases,\n', '                                     ""expected_fatalities"":expected_fatalities})\n', '        pbar.update(1)\n', 'trend_df = pd.DataFrame(trend_list)']"
"CHECKPOINT ASSIGN = model1.predict(X_test) ASSIGN = mean_squared_error(y_test, y_pred1, squared=False) ASSIGN = str(round(val, 4)) print('Root Mean Squared Error:', np.sqrt(metrics.mean_squared_error(y_test, ASSIGN)))",0,"['y_pred1 = model1.predict(X_test)\n', '\n', 'val = mean_squared_error(y_test, y_pred1, squared=False)\n', 'val1 = str(round(val, 4))\n', '\n', ""print('Root Mean Squared Error:', np.sqrt(metrics.mean_squared_error(y_test, y_pred1)))\n""]"
"DD=data_2019[data_2019.Variable=='Driving Distance - (TOTAL DISTANCE)'].iloc[:,[0,4]] DD['Value_new']=DD['Value'].apply(lambda x:''.join(x.split(','))) DD.Value_new=DD.Value_new.astype(int) DD=DD.drop(columns='Value') plt.figure(figsize=(22,15)) plt.subplot(2,2,1) DD.groupby('Player Name')['Value_new'].max().sort_values(ascending=False)[:10].sort_values().plot.barh(color='darkorange') plt.title(""Top 10 player by Total Driving Distance"",size=20) plt.xlabel('meters') plt.ylabel('') plt.subplot(2,2,2) DD=data_2019[data_2019.Variable=='Driving Distance - (AVG.)'].iloc[:,[0,4]] DD.Value=DD.Value.astype(float) DD.groupby('Player Name')['Value'].max().sort_values(ascending=False)[:10].sort_values().plot.barh(color='navy') plt.title(""Top 10 player by Average Driving Distance"",size=20) plt.xlabel('meters') plt.ylabel('') plt.subplot(2,2,3) DD=data_2019[data_2019.Variable=='Driving Distance - (ROUNDS)'].iloc[:,[0,4]] DD.Value=DD.Value.astype(float) DD.groupby('Player Name')['Value'].max().sort_values(ascending=False)[:10].sort_values().plot.barh(color='purple') plt.title(""Top 10 player by Rounds Driving Distance"",size=20) plt.xlabel('meters') plt.ylabel('') plt.subplot(2,2,4) DD=data_2019[data_2019.Variable=='Driving Distance - (TOTAL DRIVES)'].iloc[:,[0,4]] DD.Value=DD.Value.astype(float) DD.groupby('Player Name')['Value'].max().sort_values(ascending=False)[:10].sort_values().plot.barh() plt.title(""Top 10 player by TOTAL DRIVES Driving Distance"",size=20) plt.xlabel('meters') plt.ylabel('')",1,"[""DD=data_2019[data_2019.Variable=='Driving Distance - (TOTAL DISTANCE)'].iloc[:,[0,4]]\n"", ""DD['Value_new']=DD['Value'].apply(lambda x:''.join(x.split(',')))\n"", 'DD.Value_new=DD.Value_new.astype(int)\n', ""DD=DD.drop(columns='Value')\n"", 'plt.figure(figsize=(22,15))\n', 'plt.subplot(2,2,1)\n', ""DD.groupby('Player Name')['Value_new'].max().sort_values(ascending=False)[:10].sort_values().plot.barh(color='darkorange')\n"", 'plt.title(""Top 10 player by Total Driving Distance"",size=20)\n', ""plt.xlabel('meters')\n"", ""plt.ylabel('')\n"", 'plt.subplot(2,2,2)\n', ""DD=data_2019[data_2019.Variable=='Driving Distance - (AVG.)'].iloc[:,[0,4]]\n"", 'DD.Value=DD.Value.astype(float)\n', ""DD.groupby('Player Name')['Value'].max().sort_values(ascending=False)[:10].sort_values().plot.barh(color='navy')\n"", 'plt.title(""Top 10 player by Average Driving Distance"",size=20)\n', ""plt.xlabel('meters')\n"", ""plt.ylabel('')\n"", 'plt.subplot(2,2,3)\n', ""DD=data_2019[data_2019.Variable=='Driving Distance - (ROUNDS)'].iloc[:,[0,4]]\n"", 'DD.Value=DD.Value.astype(float)\n', ""DD.groupby('Player Name')['Value'].max().sort_values(ascending=False)[:10].sort_values().plot.barh(color='purple')\n"", 'plt.title(""Top 10 player by Rounds Driving Distance"",size=20)\n', ""plt.xlabel('meters')\n"", ""plt.ylabel('')\n"", 'plt.subplot(2,2,4)\n', ""DD=data_2019[data_2019.Variable=='Driving Distance - (TOTAL DRIVES)'].iloc[:,[0,4]]\n"", 'DD.Value=DD.Value.astype(float)\n', ""DD.groupby('Player Name')['Value'].max().sort_values(ascending=False)[:10].sort_values().plot.barh()\n"", 'plt.title(""Top 10 player by TOTAL DRIVES Driving Distance"",size=20)\n', ""plt.xlabel('meters')\n"", ""plt.ylabel('')\n""]"
"ASSIGN = test_df.text.values ASSIGN = [""[CLS] "" + sentence + "" [SEP]"" for sentence in ASSIGN] ASSIGN = np.random.rand(len(sentences))",0,"['sentences = test_df.text.values\n', 'sentences = [""[CLS] "" + sentence + "" [SEP]"" for sentence in sentences]\n', 'labels = np.random.rand(len(sentences))']"
SETUP,0,['from sklearn.model_selection import train_test_split']
"ASSIGN = pd.DataFrame({'first': ttvarray[:,0], 'second': ttvarray[:,1], 'third': ttvarray[:,2]}) ASSIGN = ASSIGN.replace(numstonames) ASSIGN['words'] = ASSIGN['first'] + "" "" + ASSIGN['second'] + "" "" + ASSIGN['third'] ASSIGN = pd.read_csv('..path', index_col=['key_id']) ASSIGN = preds_df.words.values ASSIGN.to_csv('subcnn_small.csv') ASSIGN.head()",0,"[""preds_df = pd.DataFrame({'first': ttvarray[:,0], 'second': ttvarray[:,1], 'third': ttvarray[:,2]})\n"", 'preds_df = preds_df.replace(numstonames)\n', 'preds_df[\'words\'] = preds_df[\'first\'] + "" "" + preds_df[\'second\'] + "" "" + preds_df[\'third\']\n', '\n', ""sub = pd.read_csv('../input/sample_submission.csv', index_col=['key_id'])\n"", ""sub['word'] = preds_df.words.values\n"", ""sub.to_csv('subcnn_small.csv')\n"", 'sub.head()']"
CHECKPOINT ASSIGN = ASSIGN.map(strtonum) print(bikes.columns),0,"['# Extraction of digital\n', ""bikes['Precipitation'] = bikes['Precipitation'].map(strtonum)\n"", ""# print(bikes['Precipitation'])\n"", 'print(bikes.columns)\n', '\n']"
match_stats_df[match_stats_df.goals_info.isnull() == False],0,['match_stats_df[match_stats_df.goals_info.isnull() == False]']
"plt.figure(figsize=(12,12)) ASSIGN=data.groupby('date')['total_cars'].agg('sum').index ASSIGN=data.groupby('date')['total_cars'].agg('sum') sns.barplot(ASSIGN=ASSIGN,ASSIGN=ASSIGN) plt.title(""total_car in the data by date"",size=24) plt.xlabel('cars')",1,"['plt.figure(figsize=(12,12))\n', ""y=data.groupby('date')['total_cars'].agg('sum').index\n"", ""x=data.groupby('date')['total_cars'].agg('sum')\n"", 'sns.barplot(x=x,y=y)\n', 'plt.title(""total_car in the data by date"",size=24)\n', ""plt.xlabel('cars')""]"
"sns.FacetGrid(train, hue=""height"", size=10).map(plt.scatter, ""category_id"", ""location"").add_legend()",1,"['sns.FacetGrid(train, hue=""height"", size=10).map(plt.scatter, ""category_id"", ""location"").add_legend()']"
"slope_df.plot(kind = 'bar', figsize = (10,6), title = 'Never Smoked: % Changes from 1994 to 2010') slope_df1.plot(kind = 'bar', figsize = (10,6), title = 'Smoke everyday: % Changes from 1994 to 2010') plt.show()",1,"[""slope_df.plot(kind = 'bar', figsize = (10,6), title = 'Never Smoked: % Changes from 1994 to 2010')\n"", ""slope_df1.plot(kind = 'bar', figsize = (10,6), title = 'Smoke everyday: % Changes from 1994 to 2010')\n"", 'plt.show()']"
"def create_model(): ASSIGN = models.densenet161(pretrained=True) for param in ASSIGN.parameters(): param.requires_grad = False ASSIGN = model.classifier.in_features ASSIGN.classifier = nn.Sequential(nn.Linear(ASSIGN, 2048), nn.ReLU(), nn.Linear(2048, 512), nn.ReLU(), nn.Linear(512, 102), nn.LogSoftmax(dim=1)) ASSIGN.to(device) return model",0,"['def create_model():\n', '    model = models.densenet161(pretrained=True)\n', '\n', '    for param in model.parameters():\n', '        param.requires_grad = False\n', '\n', '    num_filters = model.classifier.in_features\n', '    model.classifier = nn.Sequential(nn.Linear(num_filters, 2048),\n', '                               nn.ReLU(),\n', '                               nn.Linear(2048, 512),\n', '                               nn.ReLU(),\n', '                               nn.Linear(512, 102),\n', '                               nn.LogSoftmax(dim=1))\n', '\n', '    # Move model to the device specified above\n', '    model.to(device)\n', '    return model']"
"CHECKPOINT print(sum(diff_df.ConfirmedCases < 0),sum(diff_df.Fatalities<0))",0,"['print(sum(diff_df.ConfirmedCases < 0),sum(diff_df.Fatalities<0))']"
"test['Total'].plot(legend=True) predictions1.plot(legend=True) predictions2.plot(legend=True,figsize=(12,6));",1,"[""test['Total'].plot(legend=True)\n"", 'predictions1.plot(legend=True)\n', 'predictions2.plot(legend=True,figsize=(12,6));']"
CHECKPOINT print() all(recipes['rating'].apply(np.isreal)),0,"[""# We'll use the numpy isreal() function\n"", '# See https://docs.scipy.org/doc/numpy-1.13.0/reference/generated/numpy.isreal.html\n', 'print(""Is this variable numeric?"")\n', ""all(recipes['rating'].apply(np.isreal)) # Check that every row is True.""]"
ASSIGN = Prophet(interval_width=0.97) ASSIGN.fit(confirmed) ASSIGN = m.make_future_dataframe(periods=29) ASSIGN = future.copy() ASSIGN.tail(),0,"['m = Prophet(interval_width=0.97)\n', 'm.fit(confirmed)\n', 'future = m.make_future_dataframe(periods=29)\n', 'future_confirmed = future.copy() \n', 'future.tail()']"
"SETUP X_train, X_val, y_train, y_val = train_test_split(df['review'], df['sentiment'], test_size=0.3, ASSIGN=17)",0,"['from sklearn.model_selection import train_test_split, StratifiedKFold\n', 'from sklearn.neighbors import KNeighborsClassifier\n', 'from sklearn.tree import DecisionTreeClassifier\n', '\n', ""X_train, X_val, y_train, y_val = train_test_split(df['review'], df['sentiment'], test_size=0.3,\n"", 'random_state=17)']"
"ggplot(recpies, aes(x = calories, y = dessert)) + geom_point() + geom_smooth(method = ""glm"", # plot a regression... method.args = list(family = ""binomial"")) # ...from the binomial family",1,"['# plot & add a regression line\n', 'ggplot(recpies, aes(x = calories, y = dessert)) + # draw a \n', '    geom_point() + # add points\n', '    geom_smooth(method = ""glm"", # plot a regression...\n', '    method.args = list(family = ""binomial"")) # ...from the binomial family']"
"total.drop(total[total['STATEpath'] == 'TOTAL (UTs)'].index , inplace = True) total.drop(total[total['STATEpath'] == 'TOTAL (STATES)'].index , inplace = True)",0,"[""total.drop(total[total['STATE/UT'] == 'TOTAL (UTs)'].index , inplace = True) \n"", ""total.drop(total[total['STATE/UT'] == 'TOTAL (STATES)'].index , inplace = True) ""]"
SETUP,0,"['# This Python 3 environment comes with many helpful analytics libraries installed\n', '# It is defined by the kaggle/python Docker image: https://github.com/kaggle/docker-python\n', ""# For example, here's several helpful packages to load\n"", '\n', 'import numpy as np # linear algebra\n', 'import pandas as pd # data processing, CSV file I/O (e.g. pd.read_csv)\n', '\n', '# Input data files are available in the read-only ""../input/"" directory\n', '# For example, running this (by clicking run or pressing Shift+Enter) will list all files under the input directory\n', '\n', 'import os\n', ""# for dirname, _, filenames in os.walk('/kaggle/input'):\n"", '#     for filename in filenames:\n', '#         print(os.path.join(dirname, filename))\n', '\n', '# You can write up to 5GB to the current directory (/kaggle/working/) that gets preserved as output when you create a version using ""Save & Run All"" \n', ""# You can also write temporary files to /kaggle/temp/, but they won't be saved outside of the current session""]"
"sns.countplot(top_known_species) plt.title(""Top Known Species That Impact with Aircraft"") plt.xticks(rotation='vertical')",1,"['sns.countplot(top_known_species)\n', 'plt.title(""Top Known Species That Impact with Aircraft"")\n', ""plt.xticks(rotation='vertical')""]"
CHECKPOINT ASSIGN = tumor_data['Unnamed: 32'].isnull().sum() ASSIGN = tumor_data['Unnamed: 32'].shape[0] ASSIGN == number_of_rows: print('The whole \'Unnamed: 32\' column has empty values.') else: print('There are non-empty values in the \'Unnamed: 32\' column.'),0,"[""missing_values = tumor_data['Unnamed: 32'].isnull().sum()\n"", ""number_of_rows = tumor_data['Unnamed: 32'].shape[0]\n"", 'if missing_values == number_of_rows:\n', ""    print('The whole \\'Unnamed: 32\\' column has empty values.')\n"", 'else:\n', ""    print('There are non-empty values in the \\'Unnamed: 32\\' column.')""]"
"final['Age'].fillna(final['Age'].median(),inplace = True)",0,"[""final['Age'].fillna(final['Age'].median(),inplace = True)\n""]"
"ASSIGN = pd.DataFrame({'id':test_data['id'], 'type':pred_final}) ASSIGN.head()",0,"[""submission = pd.DataFrame({'id':test_data['id'], 'type':pred_final})\n"", 'submission.head()']"
"CHECKPOINT ASSIGN = pd_data['RainTomorrow'].head(55000) ASSIGN= pd_data['RainTomorrow'].tail(1420) ASSIGN = pd_data.head(55000).drop(['RainTomorrow'], axis=1) ASSIGN= pd_data.tail(1420).drop(['RainTomorrow'], axis=1) print(ASSIGN.head()) print(ASSIGN.head())",0,"['#Task: Split the data into train and test\n', ""train_y = pd_data['RainTomorrow'].head(55000)\n"", ""test_y= pd_data['RainTomorrow'].tail(1420)\n"", ""train_x = pd_data.head(55000).drop(['RainTomorrow'], axis=1)\n"", ""test_x= pd_data.tail(1420).drop(['RainTomorrow'], axis=1)\n"", 'print(train_y.head())\n', 'print(train_x.head())']"
"def keras_rnn_init(m): for name, param in m.named_parameters(): if 'weight_ih' in name: torch.nn.init.xavier_uniform_(param) if 'weight_hh' in name: torch.nn.init.orthogonal_(param) if 'bias_' in name: torch.nn.init.constant_(param, 0)",0,"['def keras_rnn_init(m):\n', '    for name, param in m.named_parameters():\n', ""        if 'weight_ih' in name: torch.nn.init.xavier_uniform_(param)\n"", ""        if 'weight_hh' in name: torch.nn.init.orthogonal_(param)\n"", ""        if 'bias_' in name: torch.nn.init.constant_(param, 0)""]"
"def pie_plot(Column): ASSIGN = pd.crosstab(data[Column],data['Churn']) ASSIGN = go.Pie(labels = ct1.index, ASSIGN = ct1.iloc[:,0], ASSIGN=0.3, ASSIGN=dict(x=[0,.45])) ASSIGN = go.Pie(labels = ct1.index, ASSIGN = ct1.iloc[:,1], ASSIGN=dict(x=[.55,1]), ASSIGN=0.3) ASSIGN = go.Layout(dict(title = Column + "" distribution in customer attrition "", ASSIGN = ""rgb(243,243,243)"", ASSIGN = ""rgb(243,243,243)"", ASSIGN = [dict(text = ""churn customers"", ASSIGN = dict(size = 13), ASSIGN = False, ASSIGN = .15, y = 1), dict(text = ""Non churn customers"", ASSIGN = dict(size = 13), ASSIGN = False, ASSIGN = .88,y = 1) ] ) ) ASSIGN = go.Figure(data=[trace1,trace2],layout=layout) py.iplot(ASSIGN)",1,"['def pie_plot(Column):    \n', ""    ct1 = pd.crosstab(data[Column],data['Churn'])\n"", '    trace1 = go.Pie(labels = ct1.index,\n', '                    values = ct1.iloc[:,0],\n', '                    hole=0.3,\n', '                    domain=dict(x=[0,.45]))\n', '    trace2 = go.Pie(labels = ct1.index,\n', '                    values = ct1.iloc[:,1],\n', '                    domain=dict(x=[.55,1]),\n', '                    hole=0.3)\n', '\n', '    layout = go.Layout(dict(title = Column + "" distribution in customer attrition "",\n', '                                plot_bgcolor  = ""rgb(243,243,243)"",\n', '                                paper_bgcolor = ""rgb(243,243,243)"",\n', '                                annotations = [dict(text = ""churn customers"",\n', '                                                    font = dict(size = 13),\n', '                                                    showarrow = False,\n', '                                                    x = .15, y = 1),\n', '                                               dict(text = ""Non churn customers"",\n', '                                                    font = dict(size = 13),\n', '                                                    showarrow = False,\n', '                                                    x = .88,y = 1)\n', '\n', '                                              ]\n', '                               )\n', '                          )\n', '\n', '    fig = go.Figure(data=[trace1,trace2],layout=layout)\n', '    py.iplot(fig)']"
